City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
159,Nanortalik,GL,60.14,-45.24,40.66,83,0,6.46,clear sky,0.0,0.0
160,Chuy,UY,-33.7,-53.46,61.27,94,100,13.96,light rain,0.2,0.0
161,Worland,US,44.02,-107.96,69.01,52,1,3.36,clear sky,0.0,0.0
162,Kamien Pomorski,PL,53.97,14.77,60.01,93,49,4.7,scattered clouds,0.0,0.0
163,Salalah,OM,17.02,54.09,84.2,83,87,4.7,overcast clouds,0.0,0.0
164,Sagua La Grande,CU,22.81,-80.08,78.8,88,75,4.7,broken clouds,0.0,0.0
165,Pafos,CY,34.77,32.42,73.4,69,20,5.82,few clouds,0.0,0.0
166,Coffs Harbour,AU,-30.3,153.13,64.0,48,0,5.82,clear sky,0.0,0.0
167,Pitkyaranta,RU,61.57,31.48,60.42,57,0,6.15,clear sky,0.0,0.0
168,Bethel,US,41.37,-73.41,71.01,83,1,4.7,clear sky,0.0,0.0
169,Touros,BR,-5.2,-35.46,71.6,94,20,3.36,few clouds,0.0,0.0
170,Gobo,JP,33.88,135.15,87.01,51,20,5.82,few clouds,0.0,0.0
171,Sovetskiy,RU,61.36,63.58,55.98,52,68,6.96,broken clouds,0.0,0.0
172,Cherskiy,RU,68.75,161.3,52.72,44,35,18.07,scattered clouds,0.0,0.0
173,Alexander City,US,32.94,-85.95,73.4,94,90,4.7,overcast clouds,0.0,0.0
174,Atuntaqui,EC,0.33,-78.22,55.4,93,75,2.24,broken clouds,0.0,0.0
175,Chicama,PE,-7.84,-79.15,62.92,83,26,4.54,scattered clouds,0.0,0.0
176,Talcahuano,CL,-36.72,-73.12,50.0,81,0,8.05,clear sky,0.0,0.0
177,Vestmannaeyjar,IS,63.44,-20.27,49.19,78,29,14.27,scattered clouds,0.0,0.0
178,Qaqortoq,GL,60.72,-46.03,46.4,65,0,3.36,clear sky,0.0,0.0
179,Halifax,CA,44.65,-63.57,63.0,84,100,2.26,overcast clouds,0.0,0.0
180,Hede,CN,33.77,120.25,74.89,94,100,11.63,light rain,0.24,0.0
181,Ewa Beach,US,21.32,-158.01,82.4,54,75,6.93,broken clouds,0.0,0.0
182,Esperance,AU,-33.87,121.9,66.2,48,40,23.04,scattered clouds,0.0,0.0
183,Shieli,KZ,44.17,66.75,92.5,11,79,15.32,broken clouds,0.0,0.0
184,Saint-Joseph,RE,-21.37,55.62,75.2,60,26,2.24,scattered clouds,0.0,0.0
185,Arkadelphia,US,34.12,-93.05,75.2,94,1,3.31,heavy intensity rain,7.37,0.0
186,Sanwer,IN,22.98,75.83,82.4,69,75,9.17,broken clouds,0.0,0.0
187,Khatanga,RU,71.97,102.5,85.12,27,87,10.36,overcast clouds,0.0,0.0
188,Preston,GB,53.77,-2.72,61.0,84,12,6.4,few clouds,0.0,0.0
189,San Cristobal,VE,7.77,-72.22,65.91,88,93,5.46,light rain,0.13,0.0
190,Diffa,NE,13.32,12.61,83.1,43,4,8.34,clear sky,0.0,0.0
191,Sobolevo,RU,54.43,31.9,61.79,95,70,6.67,broken clouds,0.0,0.0
192,Bubaque,GW,11.28,-15.83,81.59,84,24,11.88,few clouds,0.0,0.0
193,Port Hedland,AU,-20.32,118.57,78.73,40,0,9.57,clear sky,0.0,0.0
194,Ixtapa,MX,20.7,-105.2,77.88,73,31,1.39,scattered clouds,0.0,0.0
195,Brae,GB,60.4,-1.35,50.0,93,100,8.05,overcast clouds,0.0,0.0
196,Palmer,US,42.16,-72.33,71.6,78,1,3.36,clear sky,0.0,0.0
197,Whitewater,US,42.83,-88.73,64.0,92,100,1.01,light rain,0.25,0.0
198,Orbetello,IT,42.44,11.22,72.0,77,0,3.36,clear sky,0.0,0.0
199,Puerto Escondido,MX,15.85,-97.07,82.67,74,88,3.06,light rain,0.62,0.0
200,Sitka,US,57.05,-135.33,51.8,87,90,0.18,light rain,0.25,0.0
201,Tumut,AU,-35.3,148.22,47.53,82,97,6.96,light rain,0.11,0.0
202,Evensk,RU,61.95,159.23,62.11,53,7,3.36,light rain,0.21,0.0
203,Grajau,BR,-5.82,-46.14,67.66,69,0,0.92,clear sky,0.0,0.0
204,Quatre Cocos,MU,-20.21,57.76,75.2,64,40,9.17,scattered clouds,0.0,0.0
205,Karangampel,ID,-6.46,108.45,85.5,66,59,12.35,broken clouds,0.0,0.0
206,Tezu,IN,27.92,96.17,77.49,87,85,2.04,moderate rain,3.16,0.0
207,Kahului,US,20.89,-156.47,84.2,54,40,18.34,scattered clouds,0.0,0.0
208,Mount Gambier,AU,-37.83,140.77,55.4,100,40,11.41,scattered clouds,0.0,0.0
209,Moron,AR,-34.65,-58.62,59.0,93,90,2.24,light rain,0.25,0.0
210,Lavrentiya,RU,65.58,-171.0,43.57,62,94,13.94,overcast clouds,0.0,0.0
211,Antsohihy,MG,-14.88,47.99,76.12,59,0,7.92,clear sky,0.0,0.0
212,Alofi,NU,-19.06,-169.92,80.6,74,11,3.36,few clouds,0.0,0.0
213,Alta Floresta,BR,-9.88,-56.09,66.16,67,38,3.53,scattered clouds,0.0,0.0
214,Morgantown,US,39.63,-79.96,69.8,83,1,4.7,clear sky,0.0,0.0
215,Antofagasta,CL,-23.65,-70.4,59.0,72,90,2.24,overcast clouds,0.0,0.0
216,Naze,JP,28.37,129.48,84.2,74,20,12.75,few clouds,0.0,0.0
217,Nicoya,CR,10.15,-85.45,75.67,89,100,2.93,overcast clouds,0.0,0.0
218,Castro,BR,-24.79,-50.01,55.8,83,20,3.47,few clouds,0.0,0.0
219,Talnakh,RU,69.49,88.4,62.6,45,73,24.61,broken clouds,0.0,0.0
220,Miyako,JP,39.64,141.95,65.37,87,99,14.61,overcast clouds,0.0,0.0
221,Livingston,GB,55.9,-3.52,59.0,82,90,4.7,overcast clouds,0.0,0.0
222,Wuxi,CN,31.57,120.29,78.01,99,100,1.99,heavy intensity rain,4.32,0.0
223,Albanel,CA,48.88,-72.45,71.6,83,75,11.41,broken clouds,0.0,0.0
224,Edd,ER,13.93,41.69,93.24,34,74,6.85,broken clouds,0.0,0.0
225,Lyaskelya,RU,61.77,31.02,64.71,51,0,4.88,clear sky,0.0,0.0
226,Toora-Khem,RU,52.47,96.11,75.38,41,62,0.83,broken clouds,0.0,0.0
227,Tilichiki,RU,60.47,166.1,65.59,60,40,5.86,scattered clouds,0.0,0.0
228,Wairoa,NZ,-39.03,177.37,52.0,94,55,1.99,broken clouds,0.0,0.0
229,Bilma,NE,18.69,12.92,82.31,15,0,2.1,clear sky,0.0,0.0
230,Mwene-Ditu,CD,-7.0,23.45,60.85,46,17,6.13,few clouds,0.0,0.0
231,Merauke,ID,-8.47,140.33,81.5,78,17,18.43,light rain,0.33,0.0
232,Dali,CN,25.7,100.18,77.58,56,84,6.6,light rain,0.25,0.0
233,Norman Wells,CA,65.28,-126.83,55.4,93,90,4.7,light rain,0.0,0.0
234,Padang,ID,-0.95,100.35,77.47,80,100,3.36,light rain,0.32,0.0
235,Kingman,US,35.19,-114.05,87.01,14,1,12.75,clear sky,0.0,0.0
236,Clyde River,CA,70.47,-68.59,37.4,100,90,9.17,light rain,0.0,0.0
237,Aitape,PG,-3.14,142.35,85.28,71,18,8.86,light rain,0.18,0.0
238,Arraial Do Cabo,BR,-22.97,-42.03,71.38,80,6,11.41,clear sky,0.0,0.0
239,Marienburg,PL,54.04,19.03,63.0,92,0,9.6,clear sky,0.0,0.0
240,Sioux Lookout,CA,50.1,-91.92,53.6,93,40,2.24,scattered clouds,0.0,0.0
241,Keetmanshoop,NA,-26.58,18.13,57.2,30,0,11.41,clear sky,0.0,0.0
242,Vila Franca Do Campo,PT,37.72,-25.43,66.2,93,75,11.41,broken clouds,0.0,0.0
243,Parichhatgarh,IN,28.98,77.93,100.0,34,9,14.05,clear sky,0.0,0.0
244,Lata,PT,40.16,-8.33,64.0,96,0,0.45,clear sky,0.0,0.0
245,Martapura,ID,-3.42,114.85,87.13,66,74,6.87,light rain,0.71,0.0
246,Bayir,TR,37.27,28.22,71.6,78,40,5.35,thunderstorm,0.0,0.0
247,Le Port,RE,-20.94,55.29,75.2,69,75,8.05,broken clouds,0.0,0.0
248,Hithadhoo,MV,-0.6,73.08,84.69,72,14,9.22,few clouds,0.0,0.0
