City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
440,Wuwei,CN,89.01,scattered clouds,37.93,102.64,Thank Inn Chain Hotel gansu wuwei liangzhou district xiguan middle road
441,Petropavlovsk-Kamchatskiy,RU,77.0,thunderstorm,53.05,158.65,"ООО ""Гостиничный комплекс ""Петропавловск"""
444,Mahebourg,MU,75.2,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
448,Winnemucca,US,77.61,clear sky,40.97,-117.74,Winners Inn Casino
450,Riyadh,SA,89.6,broken clouds,24.69,46.72,InterContinental Riyadh
452,Alugan,PH,85.82,overcast clouds,12.22,125.48,BEMBEM RAIN FEED RESORT
455,Semey,KZ,78.8,scattered clouds,50.41,80.23,Hotel Zhana-Tau
456,Cabo San Lucas,MX,77.0,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
459,Baykit,RU,88.3,few clouds,61.67,96.37,Gostinitsa
462,Bernalillo,US,84.99,few clouds,35.05,-106.67,DoubleTree by Hilton Hotel Albuquerque
463,Meghri,AM,78.73,clear sky,38.9,46.24,Haer B&B
464,Sabang,ID,82.51,overcast clouds,5.89,95.32,Hotel Citra
468,Sambava,MG,74.12,few clouds,-14.27,50.17,Melrose
470,Zaterechnyy,RU,82.51,overcast clouds,44.79,45.21,
473,Abha,SA,77.0,scattered clouds,18.22,42.51,Abha Hotel
475,Takoradi,GH,77.11,overcast clouds,4.88,-1.76,Raybow International Hotel
476,Shilka,RU,73.26,overcast clouds,51.85,116.03,Minigostinitsa
477,Rodrigues Alves,BR,70.88,clear sky,-7.74,-72.65,Hotel José Pereira
481,Kouango,CF,70.68,overcast clouds,4.99,19.96,
488,Lishu,CN,81.3,overcast clouds,43.3,124.33,Shengyuan Hotel Fast Food
489,Howard Springs,AU,88.0,clear sky,-12.5,131.05,buffalo beach hostel
493,Canutama,BR,73.99,scattered clouds,-6.53,-64.38,Hotel Jhennifer
497,Kangaba,ML,76.23,broken clouds,11.93,-8.42,Hôtel Mandé
499,Pitimbu,BR,76.5,overcast clouds,-7.47,-34.81,Reserva do Abiaí
